GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
3.5,2,2,430,nan,315.0,1,1.0,4.0,1,1.0,2,2.0,1,3,2,3.0,4,1.0,4.0,Asian ,4,1.0,1,5,2,4,2,7,5,4,5,3,1.0,4.0,3,1.0,1,3,4.0,1.0,2.0,1.0,4,940.0,345,5,1,760,155
3.83,2,1,430,3.0,315.0,2,5.0,3.0,5,2.0,2,1.0,1,3,2,nan,3,2.0,2.0,Italian ,1,1.0,1,3,3,4,9,2,3,4,5,9,2.0,4.0,2,1.0,2,6,nan,1.0,2.0,2.0,4,1165.0,690,3,2,900,150
3.6,2,1,720,3.0,420.0,2,1.0,5.0,1,1.0,1,1.0,2,5,2,3.0,2,1.0,3.0,American,5,2.0,1,4,3,1,8,4,1,1,3,8,1.0,2.0,5,3.0,1,3,1.0,3.0,1.0,2.0,1,1165.0,500,5,2,760,169
3.3,2,1,610,4.0,980.0,1,5.0,3.0,5,1.0,4,1.0,1,3,3,3.0,5,1.0,2.0,All ,0,1.0,1,5,2,5,8,5,6,5,5,8,1.0,2.0,5,1.0,1,3,5.0,2.0,1.0,1.0,5,1165.0,500,4,1,1315,185
3.3,2,1,610,4.0,420.0,2,2.0,1.0,2,1.0,3,1.0,1,3,5,nan,4,1.0,3.0,Mexican ,2,1.0,1,5,2,5,1,3,5,3,5,5,1.0,2.0,5,1.0,1,3,3.0,2.0,2.0,1.0,3,1165.0,500,5,2,900,200
3.292,2,1,610,nan,980.0,2,2.0,4.0,2,1.0,4,2.0,3,4,3,nan,3,nan,2.0,Sub sandwhiches,5,3.0,1,4,4,4,5,3,3,2,5,1,1.0,5.0,1,3.0,1,3,3.0,4.0,1.0,2.0,1,940.0,500,4,1,1315,265
3.5,2,1,610,3.0,420.0,2,1.0,1.0,1,2.0,1,1.0,2,5,3,3.0,5,1.0,4.0,Italian,1,1.0,2,5,2,5,10,7,6,4,5,10,1.0,5.0,4,1.0,1,6,2.0,2.0,1.0,1.0,4,940.0,690,5,1,900,165
3.35,1,2,610,2.0,315.0,2,2.0,3.0,2,nan,2,2.0,4,10,5,3.0,3,1.0,1.0,italian,1,1.0,1,4,1,3,8,5,3,2,5,8,1.0,3.0,3,1.0,2,2,2.0,3.0,1.0,1.0,3,940.0,500,4,2,900,192
3.8,2,1,720,4.0,315.0,2,2.0,3.0,2,1.0,1,1.0,2,5,4,3.0,5,1.0,4.0,Thai,4,1.0,1,5,4,4,1,2,6,5,5,1,1.0,4.0,4,2.0,1,4,4.0,2.0,1.0,1.0,5,1165.0,500,5,1,1315,175
2.8,1,1,610,4.0,980.0,2,9.0,2.0,9,1.0,1,1.0,2,5,3,2.0,2,1.0,2.0,Wraps ,5,3.0,2,4,2,5,9,2,5,2,5,10,1.0,4.0,5,1.0,1,3,1.0,2.0,2.0,1.0,2,725.0,345,4,1,1315,140
3.5,1,1,610,3.0,420.0,2,1.0,1.0,1,2.0,3,2.0,1,11,2,2.0,5,2.0,4.0,Mexican,2,1.0,2,5,3,5,4,6,5,5,5,1,1.0,5.0,2,2.0,1,4,4.0,3.0,1.0,1.0,5,1165.0,690,5,1,1315,155
3.7,1,1,610,nan,420.0,2,2.0,2.0,2,1.0,3,2.0,1,11,2,3.0,5,nan,4.0,Italian ,1,3.0,1,5,4,5,7,1,6,5,5,10,1.0,4.0,2,2.0,2,3,4.0,3.0,2.0,1.0,5,1165.0,500,4,2,1315,155
3.6,1,1,610,4.0,420.0,2,3.0,2.0,3,1.0,1,2.0,3,4,5,3.0,5,1.0,4.0,Mexican ,2,1.0,1,5,1,4,3,6,6,1,5,5,1.0,4.0,4,1.0,1,3,1.0,2.0,1.0,1.0,1,1165.0,690,5,1,1315,135
3.9,2,1,610,4.0,980.0,2,2.0,3.0,2,1.0,1,1.0,2,5,5,2.0,2,1.0,2.0,Italian,1,1.0,1,4,4,3,2,7,6,2,5,1,1.0,2.0,4,1.0,2,3,2.0,2.0,1.0,1.0,2,1165.0,850,4,1,1315,210
2.6,1,1,610,4.0,980.0,2,3.0,3.0,3,2.0,1,nan,3,4,4,3.0,5,1.0,4.0,Italian ,1,1.0,1,5,3,4,8,6,5,4,4,8,2.0,4.0,4,1.0,1,3,4.0,2.0,nan,1.0,4,1165.0,690,5,2,1315,180
3.5,1,1,610,3.0,420.0,1,2.0,1.0,2,1.0,1,1.0,1,3,3,2.0,4,1.0,2.0,Chinese cuisine (General Tso's),4,3.0,1,5,2,4,3,5,2,3,5,1,2.0,2.0,4,1.0,1,2,3.0,4.0,2.0,1.0,3,940.0,500,5,1,760,140
3.2,1,1,610,nan,315.0,2,2.0,2.0,2,2.0,2,1.0,1,11,3,3.0,3,2.0,5.0,Italian,1,3.0,1,3,2,3,3,6,6,1,5,3,2.0,nan,1,1.0,2,5,1.0,2.0,1.0,2.0,4,725.0,500,3,2,900,112
3.0,1,1,720,3.0,420.0,1,3.0,2.0,3,1.0,1,2.0,1,3,2,3.0,3,nan,2.0,American ,5,1.0,1,5,1,4,3,5,4,3,5,3,2.0,4.0,4,1.0,1,3,3.0,2.0,1.0,1.0,3,940.0,500,5,1,900,125
3.6,1,1,610,2.0,420.0,1,2.0,4.0,2,1.0,2,2.0,1,3,3,2.0,5,2.0,2.0,Italian ,1,1.0,1,5,2,2,2,7,5,2,4,2,2.0,3.0,2,1.0,2,4,1.0,2.0,1.0,1.0,2,940.0,690,5,2,1315,144 lbs
3.2,1,1,430,3.0,315.0,1,1.0,3.0,1,1.0,1,2.0,1,3,1,3.0,4,1.0,5.0,Italian ,1,1.0,1,5,1,3,8,3,6,2,5,8,2.0,5.0,3,1.0,1,4,2.0,3.0,1.0,1.0,4,725.0,500,5,2,760,145
3.67,1,2,720,4.0,420.0,2,2.0,2.0,2,nan,2,2.0,1,3,2,3.0,2,2.0,4.0,Italian,1,1.0,1,3,3,1,3,4,6,1,5,3,2.0,4.0,4,2.0,1,3,1.0,3.0,2.0,2.0,5,1165.0,690,5,1,1315,130
3.73,1,1,610,3.0,980.0,2,2.0,3.0,2,1.0,1,1.0,1,8,1,2.0,5,2.0,4.0,Italian,1,1.0,2,5,3,5,3,1,3,5,5,2,2.0,2.0,2,1.0,1,3,5.0,3.0,1.0,1.0,5,1165.0,500,5,1,1315,140
4.0,1,1,720,nan,420.0,2,2.0,2.0,2,1.0,1,1.0,1,11,1,2.0,5,1.0,2.0,Italian ,1,1.0,2,5,3,3,5,3,5,4,5,2,2.0,4.0,4,1.0,1,6,3.0,4.0,1.0,1.0,4,1165.0,690,5,1,1315,140
3.1,2,2,610,3.0,980.0,2,2.0,3.0,2,1.0,2,2.0,1,3,1,2.0,4,2.0,nan,Lean,0,2.0,1,5,1,2,3,7,5,3,5,2,1.0,4.0,2,1.0,1,2,2.0,3.0,1.0,2.0,3,1165.0,345,5,1,1315,140
3.79,2,1,720,4.0,420.0,2,2.0,1.0,2,1.0,2,2.0,2,12,4,3.0,3,1.0,4.0,Mexican,2,1.0,1,3,2,3,1,3,6,1,5,2,2.0,2.0,5,3.0,1,3,1.0,3.0,1.0,1.0,2,1165.0,850,4,1,1315,200
2.71,2,2,265,2.0,420.0,1,9.0,2.0,9,4.0,4,2.0,3,4,1,3.0,3,2.0,1.0,nan,0,2.0,1,4,3,3,8,8,3,3,3,10,4.0,1.0,2,2.0,3,5,3.0,3.0,1.0,2.0,3,580.0,345,4,2,760,nan
3.0,1,1,610,3.0,420.0,2,3.0,3.0,3,1.0,1,1.0,1,3,2,2.0,5,1.0,4.0,italian ,1,1.0,1,5,1,3,6,2,5,4,5,9,2.0,4.0,4,1.0,2,4,3.0,3.0,1.0,2.0,4,940.0,500,4,1,900,120
3.7,1,2,610,3.0,420.0,1,2.0,2.0,2,1.0,2,2.0,1,3,2,2.0,2,2.0,2.0,american ,5,3.0,1,4,4,2,4,3,3,1,5,4,1.0,5.0,3,2.0,1,3,1.0,4.0,2.0,1.0,1,1165.0,690,2,2,1315,150
3.1,2,2,265,2.0,420.0,1,2.0,2.0,2,1.0,2,2.0,2,13,2,2.0,1,2.0,2.0,American ,5,2.0,1,3,4,1,4,7,3,1,4,5,2.0,5.0,1,1.0,1,3,1.0,3.0,2.0,1.0,2,725.0,345,2,2,900,200
3.0,1,1,720,3.0,420.0,2,1.0,2.0,1,1.0,3,1.0,1,2,2,2.0,3,1.0,2.0,Japanese,4,1.0,2,5,2,4,8,3,5,3,4,8,2.0,2.0,4,1.0,1,3,2.0,3.0,1.0,1.0,3,580.0,345,4,1,1315,135
